Topic,Category,cat_short,Field,field_short,Start_Date,Experience,Level,str,exp
Chemistry I,Formal Education,form,Chemistry,chem,1-Mar-01,3-6 months,Beginner,1,4
Introduction to Programming and Algorithms,Formal Education,form,Computer Science & Web Development,cs,1-Mar-01,3-6 months,Beginner,1,4
Quantitative Methods for Business and Economics I,Formal Education,form,Data Science & Statistics,data,1-Mar-01,3-6 months,Beginner,1,4
Microeconomics I,Formal Education,form,Economics & Finance,econ,1-Mar-01,3-6 months,Beginner,1,4
Chemistry II,Formal Education,form,Chemistry,chem,1-Aug-01,3-6 months,Beginner,1,4
Foundations of Software Engineering,Formal Education,form,Computer Science & Web Development,cs,1-Aug-01,3-6 months,Beginner,1,4
Quantitative Methods for Business and Economics II,Formal Education,form,Data Science & Statistics,data,1-Aug-01,3-6 months,Beginner,1,4
Macroeconomics I,Formal Education,form,Economics & Finance,econ,1-Aug-01,3-6 months,Beginner,1,4
Principles of Organic Chemistry,Formal Education,form,Chemistry,chem,1-Mar-02,3-6 months,Beginner to intermediate,4,4
Spectroscopy in Chemistry,Formal Education,form,Chemistry,chem,1-Mar-02,3-6 months,Beginner to intermediate,4,4
Econometric Methods,Formal Education,form,Data Science & Statistics,data,1-Mar-02,3-6 months,Beginner to intermediate,4,4
Microeconomics II,Formal Education,form,Economics & Finance,econ,1-Mar-02,3-6 months,Beginner to intermediate,4,4
Australian Economy,Formal Education,form,Economics & Finance,econ,1-Aug-02,3-6 months,Beginner,1,4
Inorganic and Materials Chemistry,Formal Education,form,Chemistry,chem,1-Aug-02,3-6 months,Beginner to intermediate,4,4
Principles of Physical Chemistry,Formal Education,form,Chemistry,chem,1-Aug-02,3-6 months,Beginner to intermediate,4,4
Macroeconomics II,Formal Education,form,Economics & Finance,econ,1-Aug-02,3-6 months,Beginner to intermediate,4,4
Concepts in Medicinal Chemistry,Formal Education,form,Chemistry,chem,1-Mar-03,3-6 months,Beginner to intermediate,4,4
Transition Metal Chemistry,Formal Education,form,Chemistry,chem,1-Mar-03,3-6 months,Beginner to intermediate,4,4
Microeconomics III,Formal Education,form,Economics & Finance,econ,1-Mar-03,3-6 months,Beginner to intermediate,4,4
International Economics,Formal Education,form,Economics & Finance,econ,1-Mar-03,3-6 months,Beginner to intermediate,4,4
Analytical Aspects of Organic Chemistry,Formal Education,form,Chemistry,chem,1-Aug-03,3-6 months,Beginner to intermediate,4,4
Bioorganic and Natural Product Chemistry,Formal Education,form,Chemistry,chem,1-Aug-03,3-6 months,Beginner to intermediate,4,4
Macroeconomics III,Formal Education,form,Economics & Finance,econ,1-Aug-03,3-6 months,Beginner to intermediate,4,4
Law and Economics,Formal Education,form,Economics & Finance,econ,1-Aug-03,3-6 months,Beginner to intermediate,4,4
Physical Aspects of Inorganic Chemistry,Formal Education,form,Chemistry,chem,1-Mar-04,3-6 months,Beginner to intermediate,4,4
"Mineralogy, Geochemistry and Petrology",Formal Education,form,Chemistry,chem,1-Mar-04,3-6 months,Beginner to intermediate,4,4
Money and Banking,Formal Education,form,Economics & Finance,econ,1-Mar-04,3-6 months,Beginner to intermediate,4,4
Corporate Finance,Formal Education,form,Economics & Finance,econ,1-Mar-04,3-6 months,Beginner to intermediate,4,4
Selected Topics in Inorganic Chemistry,Formal Education,form,Chemistry,chem,1-Aug-04,3-6 months,Beginner to intermediate,4,4
Petrology and Geochemistry,Formal Education,form,Chemistry,chem,1-Aug-04,3-6 months,Beginner to intermediate,4,4
Japanese Economy and Economic Policy,Formal Education,form,Economics & Finance,econ,1-Aug-04,3-6 months,Beginner to intermediate,4,4
International Financial Management,Formal Education,form,Economics & Finance,econ,1-Aug-04,3-6 months,Beginner to intermediate,4,4
MS Excel,On-the-Job,otj,Data Science & Statistics,data,16-Dec-04,5+ years,Advanced,25,36
Revenue Modeling,On-the-Job,otj,Economics & Finance,econ,16-Jan-05,2-5 years,Intermediate to Advanced,16,25
Time Series Analysis,On-the-Job,otj,Economics & Finance,econ,1-Feb-05,2-5 years,Intermediate,9,25
Data Analysis,On-the-Job,otj,Data Science & Statistics,data,1-Mar-05,5+ years,Advanced,25,36
Teradata SQL,On-the-Job,otj,Data Science & Statistics,data,1-Jan-06,5+ years,Intermediate to Advanced,16,36
Staff Mentoring,On-the-Job,otj,Project Management,proj,1-Feb-08,5+ years,Intermediate to Advanced,16,36
National Accounts Statistics,On-the-Job,otj,Economics & Finance,econ,1-Aug-09,2-5 years,Intermediate,9,25
Revenue Forecasting,On-the-Job,otj,Economics & Finance,econ,1-Aug-09,2-5 years,Intermediate to Advanced,16,25
Graduate Microeconomics,Formal Education,form,Economics & Finance,econ,1-Mar-11,3-6 months,Beginner to intermediate,4,4
Graduate Macroeconomics,Formal Education,form,Economics & Finance,econ,1-Aug-11,3-6 months,Beginner to intermediate,4,4
Algorithms for Data Mining,Formal Education,form,Data Science & Statistics,data,1-Mar-12,3-6 months,Beginner to intermediate,4,4
R,Online Course/Self Taught,ocst,Data Science & Statistics,data,1-Mar-12,2-5 years,Intermediate to Advanced,16,25
Requirements Gathering,On-the-Job,otj,Project Management,proj,1-Mar-13,6-12 months,Intermediate,9,9
Project Management,On-the-Job,otj,Project Management,proj,1-Mar-13,2-5 years,Intermediate,9,25
MS Visio,On-the-Job,otj,Project Management,proj,1-Mar-13,1-2 years,Intermediate to Advanced,16,16
SQL Server,On-the-Job,otj,Data Science & Statistics,data,1-Mar-13,2-5 years,Advanced,25,25
MS PowerPoint,On-the-Job,otj,Project Management,proj,1-Mar-13,2-5 years,Advanced,25,25
QlikView,On-the-Job,otj,Data Science & Statistics,data,1-Aug-13,Less than 3 months,Beginner to intermediate,4,1
Agile Development,On-the-Job,otj,Project Management,proj,1-Sep-13,6-12 months,Beginner to intermediate,4,9
Team Foundation Server,On-the-Job,otj,Project Management,proj,1-Sep-13,6-12 months,Beginner to intermediate,4,9
Tableau,On-the-Job,otj,Data Science & Statistics,data,1-Feb-14,Less than 3 months,Beginner,1,1
MS Access,On-the-Job,otj,Data Science & Statistics,data,1-Jun-14,1-2 years,Intermediate to Advanced,16,16
Perl,Online Course/Self Taught,ocst,Computer Science & Web Development,cs,1-Feb-15,Less than 3 months,Beginner,1,1
HTML,Online Course/Self Taught,ocst,Computer Science & Web Development,cs,1-Mar-15,Less than 3 months,Beginner to intermediate,4,1
CSS,Online Course/Self Taught,ocst,Computer Science & Web Development,cs,1-Mar-15,Less than 3 months,Beginner to intermediate,4,1
Blogging,Online Course/Self Taught,ocst,Computer Science & Web Development,cs,1-Mar-15,6-12 months,Intermediate,9,9
MongoDB,On-the-Job,otj,Data Science & Statistics,data,1-Apr-15,Less than 3 months,Beginner,1,1
Python,On-the-Job,otj,Computer Science & Web Development,cs,1-Apr-15,3-6 months,Beginner to intermediate,4,4
Trello,On-the-Job,otj,Project Management,proj,1-May-15,Less than 3 months,Intermediate,9,1
Wordpress,Online Course/Self Taught,ocst,Computer Science & Web Development,cs,1-May-15,6-12 months,Intermediate,9,9
Initiating and Planning Projects,Online Course/Self Taught,ocst,Project Management,proj,1-Jun-15,Less than 3 months,Beginner,1,1
Regression Models,Online Course/Self Taught,ocst,Data Science & Statistics,data,3-Aug-15,Less than 3 months,Beginner to intermediate,4,1
Practical Machine Learning,Online Course/Self Taught,ocst,Data Science & Statistics,data,7-Sep-15,Less than 3 months,Beginner to intermediate,4,1
